Cor coeff,P
0,0.604553628
0.01,0.604563741
0.02,0.604593701
0.03,0.604642979
0.04,0.6047111
0.05,0.604797637
0.06,0.604902207
0.07,0.60502447
0.08,0.605164126
0.09,0.605320911
0.1,0.605494598
0.11,0.605684995
0.12,0.605891939
0.13,0.606115301
0.14,0.60635498
0.15,0.606610904
0.16,0.60688303
0.17,0.607171341
0.18,0.607475848
0.19,0.607796587
0.2,0.608133621
0.21,0.608487039
0.22,0.608856954
0.23,0.609243508
0.24,0.609646866
0.25,0.61006722
0.26,0.610504791
0.27,0.610959823
0.28,0.611432592
0.29,0.6119234
0.3,0.612432579
0.31,0.612960491
0.32,0.613507532
0.33,0.614074128
0.34,0.614660741
0.35,0.615267867
0.36,0.615896043
0.37,0.616545843
0.38,0.617217885
0.39,0.617912829
0.4,0.618631385
0.41,0.619374311
0.42,0.620142419
0.43,0.62093658
0.44,0.621757722
0.45,0.622606841
0.46,0.623485004
0.47,0.624393353
0.48,0.62533311
0.49,0.626305586
0.5,0.62731219
0.51,0.628354432
0.52,0.629433935
0.53,0.630552445
0.54,0.631711843
0.55,0.632914155
0.56,0.634161568
0.57,0.635456446
0.58,0.636801348
0.59,0.638199046
0.6,0.63965255
0.61,0.641165133
0.62,0.642740361
0.63,0.644382125
0.64,0.646094681
0.65,0.647882694
0.66,0.64975129
0.67,0.651706111
0.68,0.653753389
0.69,0.655900021
0.7,0.658153668
0.71,0.660522859
0.72,0.663017127
0.73,0.665647162
0.74,0.668424997
0.75,0.671364232
0.76,0.674480302
0.77,0.677790811
0.78,0.681315937
0.79,0.68507893
0.8,0.689106739
0.81,0.693430805
0.82,0.698088061
0.83,0.703122223
0.84,0.708585469
0.85,0.714540658
0.86,0.721064282
0.87,0.728250487
0.88,0.736216615
0.89,0.745111003
0.9,0.755124176
0.91,0.766505261
0.92,0.779586656
0.93,0.794821925
0.94,0.812845195
0.95,0.834564443
0.96,0.861299724
0.97,0.894919124
0.98,0.937415855
0.99,0.984873746
1,NAN
